Sample;Plant_species;P-Ser;Asp;OH-Pro;Thr;Ser;Glu;A-AAA;Pro;Gly;Ala;Citr;Val;Cys;Met;Ile;Leu;Tyr;B-ALA;Phe;B-AIBA;GABA;Ammoniumsulfat;Orn;Lysin;1-Meth;His;Arg;Summe_AS_(mg/g);Summe_AS_essential(mg/g);Summe_AS_non_essential(mg/g);;;;;;;
NB75;Acer_pseudoplatanus;0.2376684;14.2353644;0;5.14128974;7.87795968;11.3553904;0;7.06224134;8.13852091;8.75980591;0;3.51723763;0.56143692;2.86728979;2.85212006;9.27516826;4.08908966;0;5.46313757;0;0.11191711;2.47341168;0.07291094;9.15838906;0;2.46149683;7.10936678;11.28212131;3.868710666;7.413410641;;;;;;;
NB352;Achillea_millefolium;0;2.06907814;0;0.70436508;1.21951259;1.54525228;0;1.1372177;1.6150473;1.45213455;0;0.54190255;0;0.20776341;0.32866023;1.5341089;0.55444862;0;0.6093855;0;0;0.62943794;0;1.11843943;0;0.25689105;0.60819401;1.613183928;0.479127073;1.134056855;;;;;;;
NA;Aesculus_hippocastanum;0.160339394;12.46375758;0;5.2752;8.235733333;10.48077576;0;8.465163636;12.73755152;11.31864242;0;3.564557576;0;2.269478788;2.576436364;8.711466667;2.74409697;0;3.575951515;0;0.155830303;7.190545455;0;8.695418182;0;2.112290909;4.632824242;11.53660606;3.271820606;8.264785455;;;;;;;
J603_1;Aesculus_x_carnea;0.076388855;4.846932883;0;1.813704083;2.922736772;3.993247614;0;3.135673269;3.228243421;3.386439062;0;1.216228855;0;0.911786924;0.838485628;3.438163862;1.225261903;0;1.777688717;0;0;1.460969379;0;2.952312386;0;0.842532634;1.837581738;3.990437799;1.267617244;2.722820554;;;;;;;
NB396;Ajuga_reptans;0;13.6702628;0.33284071;4.80787278;8.35717687;11.5095385;0;5.35612361;8.66067065;8.8872233;0;3.67723835;0.46448142;2.17437194;2.68340736;9.30993585;3.69259953;0;5.16052268;0;0;2.8454976;0;7.63315148;0;2.00445814;5.65321344;10.6880587;3.547102054;7.140956647;;;;;;;
MH58;Alliaria_petiolata;0.206067327;9.44630495;0;4.289964356;7.448649505;7.727524752;0;6.170186139;11.41929505;8.786233663;0;2.481267327;0;2.163754455;1.905077228;6.39350495;1.92670099;0;2.782289109;0;0;5.909465347;0;7.608475248;0;1.502970297;3.398970297;9.156670099;2.491779802;6.664890297;;;;;;;
MH103;Allium_ursinum;0;11.947968;0;7.084608;10.500528;11.28216;0.625728;8.124576;13.453488;13.219008;0.189648;4.59408;0.321408;2.780496;3.554304;9.469344;3.199056;0;4.286496;0;0;15.527424;0;8.737104;0;2.3268;5.496576;13.67208;3.9592704;9.7128096;;;;;;;
NA;Anemone_nemorosa;0;10.328256;0;3.96696;7.153344;7.98288;0;7.34232;10.071696;9.586896;0;2.596608;0;1.69776;2.088;6.48648;2.10432;0.476256;2.904864;0;0;6.307824;0;7.464624;0;1.936704;3.365904;9.3861696;2.504328;6.8818416;;;;;;;
J558_1;Anthemis_arvensis;0.035780635;4.926875896;0.5520222;1.760960817;2.836466217;3.831827087;0;3.070797939;3.168991435;3.439872078;0;1.109771896;0.175586165;0.816928383;0.852058435;3.4487232;1.253825217;0;1.654140417;0;0;1.054864174;0;3.421995339;0;1.04253913;1.839915548;4.029394221;1.252503783;2.776890438;;;;;;;
LN152;Anthemis_cotula;0;1.588953991;0;0.410678958;0.7264512;0.839414177;0;1.699775386;0.938589321;0.816197442;0;0.254460279;0;0.093267349;0.156488037;0.940026642;0.218097377;0;0.418240298;0;0;0.697599628;0;0.6779736;0;0.169781581;0.314386437;1.09603817;0.275732958;0.820305212;;;;;;;
MH85;Anthriscus_sylvestris;0;12.53572571;0.8624;4.46592;8.918217143;9.89632;0;7.491154286;10.8608;8.975862857;0.258057143;2.900205714;0;1.75936;2.158628571;6.782262857;2.098285714;0;3.435337143;0;0.189897143;16.48288;0;6.484297143;0;2.036525714;3.716114286;11.23082514;2.725435429;8.505389714;;;;;;;
