Pflanzenname,Family,order,SampleID,Caproic,Methylheptanoic1,Methylheptanoic2,Caprylic,Pelargonic,Methylnonanoic1,Capric,Methyldecanoic1,Lauric,Methyldodecanoic1,Methyldodecanoic2,Tetradecenoic,Myristic ,Myristoleic,Methyltetradecanoic1,Methyltetradecanoic2,Methyltetradecanoic3,Pentadecenoic,Pentadecanoic,Methylpentadecenoic,Hexadecadienoic1Hexadecenoic1,Methylpentadecanoic1,Hexadecadienoic2,Hexadecadienoic3Hexadecatrienoic ,Palmitoleic,Hexadecenoic2,Hexadecadienoic4,Methylpentadecanoic2,Hexadecenoic3,Palmitic,Hexadecadienoic5,Unknown,Methylhexadecanoic1,Methylhexadecenoic,Methylhexadecanoic2,Heptadecadienoic,Methylhexadecanoic3,Heptadecenoic1,Heptadecenoic2,Heptadecenoic3,Margaric,Octadecatrienoic1,Octadecenoic1,Octadecadienoic1,Octadecatrienoic2Octadecadienoic2,Octadecadienoic3Octadecenoic3,Linoleic,LinolenicOleic,Octadecenoic4,Elaidic,StearicOctadecatrienoic4,Octadecatrienoic5,Octadecatrienoic6Octadecadienoic2,Octadecadienoic3Octadecatrienoic7,Octadecatrienoic8,Octadecatrienoic9Octadecadienoic4,Methyloctadecanoic1,Methyloctadecanoic2,Octadecatrienoic10,Octadecatrienoic11Eicosenoic1,Octadecatrienoic12,Eicosatrienoic1,Arachidonic,Methylnonadecanoic,Eicosadienoic1,Eicosenoic2,Eicosenoic3,Eicosenoic4,Eicosatrienoic2,Eicosadienoic2,Arachidic,Unknown,Methyleicosenoic,Unknown1,Methyleicosanoic1,Methyleicosanoic2,Erucic,Docosenoic1,Behenic,Docosenoic2,Methyldocosanoic,Tricosenoic2,Tricosanoic,Methyltricosanoic,Tetracosenoic1,Nervonic,Tetracosenoic2,Lignoceric,unknown,Methyldocosenoic,Tetracosenoic3,Methyltetracosanoic,Methylpentacosanoic,Unknown,Ximenic,Cerotic,Methylhexacosenoic,Octacosenoic,Montanic,Methyloctacosenoic,Methyloctacosanoic,Mellisic,Sum,Unsaturated_saturated
Acer_campestre,Sapindaceae,Sapindales,NB98,195.7261076,0,0,151.8938282,261.6409034,0,113.1215259,53.14732108,202.3995717,43.57433846,0,0,676.0499035,18.10907331,67.91637015,0,0,0,159.3886643,0,0,17.92580597,0,0,266.6868341,89.31125662,0,37.39025864,0,7329.833395,0,0,55.89492425,0,48.64281169,106.8086306,0,0,0,0,371.6390547,0,0,0,225.9021406,0,3640.640521,7527.378209,0,126.0690053,2336.021755,206.4693698,2711.709689,434.6253485,0,339.1504201,50.26465286,0,124.9744353,0,0,0,0,0,0,117.4389941,0,0,0,0,497.6005467,0,0,0,0,0,0,0,221.0313472,0,0,0,0,0,0,0,0,133.4894251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28959.86644,1.223475814
Acer_platanoides,Sapindaceae,Sapindales,NB77,89.08203536,0,0,313.4596884,299.0644094,0,316.751612,88.7624689,319.7898632,207.4919256,0,0,1008.978316,24.11476422,26.35400841,0,0,0,217.1894408,0,0,51.0005241,0,0,123.9647203,41.54412927,0,0,0,3862.358111,0,0,19.87516339,0,66.75257296,83.93958821,0,0,0,0,224.6840192,0,0,0,0,0,2028.853513,4000.956853,0,155.0071701,1307.850807,332.839839,1685.141408,190.0121443,88.24108227,66.92567224,50.23674698,0,81.08336825,0,0,0,0,0,0,84.06006893,0,0,0,0,310.340122,0,52.37833204,0,0,0,0,0,272.3176921,0,0,0,29.27841688,0,0,0,0,296.560191,0,0,0,0,0,0,0,41.37175233,0,0,0,0,0,0,18458.61254,0.959606644
Acer_pseudoplatanus,Sapindaceae,Spindales,NB_75,228.1810065,0,0,58.68050494,0,0,0,52.9990322,17.19441454,0,0,0,110.5828384,0,0,0,12.78144877,0,38.81946447,0,0,0,0,0,24.96739774,19.63114394,0,43.97681819,0,6693.919464,0,0,6.715091469,0,89.2522571,0,22.76623802,0,0,0,74.04704236,44.97860248,0,0,0,0,2757.907626,8148.994809,0,103.9218958,4112.004963,315.4775903,4849.448028,316.1083923,358.0994617,129.6964379,111.7818355,0,488.9123599,53.41903284,0,0,0,0,629.2924357,136.5855389,0,0,151.1025012,0,679.7336592,107.3384238,0,0,0,0,0,0,344.9066692,0,0,0,46.45935557,0,0,0,0,266.8944532,0,0,0,0,0,0,0,28.67907571,0,0,0,0,0,0,31676.25731,1.420859627
Aesculus_hippocastanum,Sapindaceae,Spindales,LN_78,290.4886904,0,0,0,41.79375307,0,37.38648872,54.06676105,75.45705558,0,0,0,384.4201226,0,0,0,52.30679922,0,105.4734946,0,0,0,0,0,64.00976698,54.71334432,0,87.85040064,0,3531.087719,0,0,212.1972955,0,58.55552998,0,0,0,0,0,193.35753,70.99522212,0,37.24516235,0,0,915.7251988,2070.145285,0,108.6253032,1602.588628,97.4247149,2259.161292,722.4836744,45.3836164,254.3271008,0,86.55234676,170.0495333,282.2288342,0,0,0,0,0,498.0431411,0,0,0,0,476.8807428,0,80.55803192,0,194.3223391,0,0,0,436.5690217,0,0,0,106.6989524,0,0,89.8983033,0,303.6984795,0,0,0,0,0,0,0,78.44604478,0,0,44.1124154,0,0,0,16275.32814,0.925092286
Aesculus_rubicunda,Sapindaceae,Sapindales,SL_J603_1_FA_2,6.541686511,0,0,0,133.1428545,0,47.34153262,0,56.72405058,0,0,0,171.7001826,0,0,0,1.932874801,0,47.24127437,0,0,16.72192354,0,0,0,19.50741982,0,0,0,7917.611094,0,0,0,8.600720587,35.49515607,0,0,0,0,0,0,14.64303417,0,11.83042256,0,393.1891178,6992.603987,3207.117178,0,178.8723038,3294.00755,24.42731503,0,301.4338559,36.20025155,53.05653097,165.3203614,132.4426421,213.5463266,0,17.13464109,0,0,0,0,2395.322977,0,0,0,0,0,0,0,0,0,171.2303472,0,0,287.6772244,0,15.31309545,0,41.65379171,0,0,254.3029935,0,211.2978275,0,7.506140966,0,0,0,0,0,48.05917169,0,0,23.05285586,0,0,0,26953.80271,1.100333158
Ajuga_reptans,Laminaceae,Laminales,NB_101,155.7812996,0,0,0,37.77623853,0,66.83826058,44.60050755,81.30976878,0,0,10.73599075,130.1112314,0,0,0,26.11976856,0,60.87520404,0,0,0,0,0,111.1690264,68.46247929,0,99.26117771,0,5479.755844,0,0,48.28658862,0,53.30926195,0,0,0,0,0,65.41591939,331.4944331,0,0,0,0,4265.389498,9269.319415,0,0,870.3823851,121.6443061,2032.291537,266.4800778,219.0809801,121.0719189,0,0,173.2700075,0,0,0,0,0,0,138.0479712,0,0,0,0,275.7520377,0,0,0,0,0,0,0,370.992392,0,0,0,94.55270616,0,0,0,0,210.9711552,0,0,0,0,0,0,0,64.43159485,0,0,47.2184649,0,0,0,25412.19945,2.067719883
Alliaria_petiolata,Boraginaceae,Boraginales,NB_22,367.943411,0,0,0,0,0,0,42.35622287,40.20793301,0,0,0,1270.576177,26.43984854,0,0,17.06760752,0,87.63699407,0,0,44.97422953,17.13530911,55.26081888,111.4052919,48.3729952,0,197.2671098,0,6146.814478,0,0,38.35080482,0,20.48938796,0,0,0,0,0,136.0037468,0,76.28892206,63.38986185,0,81.17912493,1562.604735,3681.586916,0,255.5312738,1902.921007,142.4798016,4986.531436,1424.483135,191.0060558,0,0,160.4205334,175.3165549,0,20.41991963,0,0,0,0,80.82127706,0,0,0,0,418.5501677,0,0,0,35.87140502,0,43.18798184,0,486.3128358,0,0,0,65.01206158,0,0,89.14492087,0,129.6385256,0,0,0,0,0,0,0,38.89771773,0,0,0,0,0,0,24779.89854,1.127520734
Allium_ursinum,Amaryllidaceae,Asparagales,NB_65,127.9441996,0,0,0,0,0,0,51.0030786,34.54646744,0,0,19.45763451,221.7579152,0,0,0,0,0,85.35945993,0,0,0,0,0,90.98672883,24.35311918,0,70.8202816,0,7828.095576,0,0,8.207329657,0,20.83145924,0,0,0,0,0,91.04790013,20.56318309,0,48.5738038,64.07659782,0,3098.218112,9719.66659,0,117.8741206,1729.275889,394.3314727,6034.759196,362.0616263,302.0418211,187.073079,0,125.1707465,629.7099503,90.38975376,35.66216912,0,0,0,0,79.33816529,0,0,94.43906131,0,1610.862665,0,0,0,97.5736902,0,0,0,645.3955871,0,0,0,97.5214494,0,0,536.3208414,0,215.3782253,0,0,0,0,0,0,0,23.34828384,0,0,0,0,0,0,35034.03723,1.677595676
Anthemis_arvensis,Asteraceae,Asterales,SL_J5558_1_FA_2,0,0,0,1063.737375,111.6871573,0,0,0,62.64915297,0,0,0,142.826307,0,0,0,0,0,31.05315472,0,0,0,0,0,0,0,0,0,0,6056.085747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5485.480963,10639.48024,0,95.93111804,2749.318786,59.10042843,892.4265858,797.495303,0,33.29471567,128.4490558,17.91821475,100.8583119,62.84540803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.1047544,0,0,0,9.975056502,0,0,0,0,117.9177937,0,0,0,22.09429454,0,0,0,70.1893339,0,0,0,0,0,0,28861.91926,1.698635116
Anthemis_cotula,Asteraceae,Asterales,LN152,49.96975849,0,0,308.1437451,257.0629085,0,420.3125415,37.02213809,512.2192022,0,0,7.352293258,1416.548681,16.18097809,106.6041692,0,52.21535212,0,129.1189162,0,0,0,0,0,97.3811253,126.702275,0,26.51628601,0,4423.631395,0,0,0,0,0,98.02575318,0,0,0,0,227.3548794,0,13.60202793,0,0,20.74069218,1696.972117,2557.971549,0,170.2576907,2276.062855,0,785.8130459,419.5490806,93.26216816,110.2583323,0,0,56.18697957,0,0,0,0,0,0,70.91522555,0,0,0,0,633.5975297,0,0,0,0,0,0,0,221.7061825,0,0,0,65.96206837,0,0,0,0,247.3663959,0,0,42.71705386,50.19520231,0,0,0,124.7643186,0,0,31.86649828,0,0,0,18002.12941,0.549471161
