project;name;sample_name_old;new_name;bees_in_pool;aim_id;host;host_genus;season;bioregion;plot;sampletype;year;sample_affiliation;project_person;collection;LUI_cat;G_STD;M_STD;F_STD;LUI_value_overall2021_global.ALB..HAI.;seq_run;well_in_pcr_plate
ITS2_susy4pAB;A10-2-A10-3-S179;A10-2-A10-3;A10_RA_Mix;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG10;stigma;06.05.2022;stigma;anna;plate;low;0,08;1,61;0,22;1,38;;
ITS2_susy4pAB;A10-1-S177;A10-1;A10_RA1;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG10;stigma;06.05.2022;stigma;anna;plate;low;0,08;1,61;0,22;1,38;;
ITS2_susy4pAB;A10-2-S178;A10-2;A10_RA2;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG10;stigma;06.05.2022;stigma;anna;plate;low;0,08;1,61;0,22;1,38;;
ITS2_susy4pAB;A10-3-S180;A10-3;A10_RA3;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG10;stigma;06.05.2022;stigma;anna;plate;low;0,08;1,61;0,22;1,38;;
ITS2_susy4pAB;A21-1-A10-2-S174;A21-1-A10;A10_21_Mix;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG_1021;stigma;NA;stigma;anna;plate;NA;;;;NA;;
ITS2_susy4pAB;A17-1-S225;A17-1;A17_RA1;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG17;stigma;03.05.2022;stigma;anna;plate;low;0;1,61;0;1,27;;
ITS2_susy4pAB;A17-2-S160;A17-2;A17_RA2;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG17;stigma;03.05.2022;stigma;anna;plate;low;0;1,61;0;1,27;;
ITS2_susy4pAB;A17-3-S161;A17-3;A17_RA3;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG17;stigma;03.05.2022;stigma;anna;plate;low;0;1,61;0;1,27;;
ITS2_susy4pAB;A2-1-S157;A2-1;A2_RA1_1;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG02;stigma;03.05.2022;stigma;anna;plate;high;0;3,23;5,65;2,98;;
ITS2_susy4pAB;A2-1-2-S182;A2-1-2;A2_RA1_2;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG02;stigma;06.05.2022;stigma;anna;plate;high;0;3,23;5,65;2,98;;
ITS2_susy4pAB;A2-2-S158;A2-2;A2_RA2_1;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG02;stigma;03.05.2022;stigma;anna;plate;high;0;3,23;5,65;2,98;;
ITS2_susy4pAB;A2-2-2-S183;A2-2-2;A2_RA2_2;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG02;stigma;06.05.2022;stigma;anna;plate;high;0;3,23;5,65;2,98;;
ITS2_susy4pAB;A2-3-S184;A2-3;A2_RA3;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG02;stigma;06.05.2022;stigma;anna;plate;high;0;3,23;5,65;2,98;;
ITS2_susy4pAB;A10-3-A2-1-2-S223;A10-3-A2-1-2;A2_10_Mix;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG_210;stigma;NA;stigma;anna;plate;NA;;;;NA;;
ITS2_susy4pAB;A21-1-S173;A21-1;A21_RA1;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG21;stigma;04.05.2022;stigma;anna;plate;high;4,32;0,81;0,74;2,42;;
ITS2_susy4pAB;A21-2-S220;A21-2;A21_RA2;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG21;stigma;04.05.2022;stigma;anna;plate;high;4,32;0,81;0,74;2,42;;
ITS2_susy4pAB;A21-3-S176;A21-3;A21_RA3;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG21;stigma;04.05.2022;stigma;anna;plate;high;4,32;0,81;0,74;2,42;;
ITS2_susy4pAB;A3-1-S151;A3-1;A3_RA1;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG03;stigma;03.05.2022;stigma;anna;plate;low;0;1,61;0;1,27;;
ITS2_susy4pAB;A3-2-S152;A3-2;A3_RA2;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG03;stigma;03.05.2022;stigma;anna;plate;low;0;1,61;0;1,27;;
ITS2_susy4pAB;A3-3-S153;A3-3;A3_RA3;NA;;Ranunculus_acris;Ranunculus;NA;Alb;AEG03;stigma;03.05.2022;stigma;anna;plate;low;0;1,61;0;1,27;;
